Ticker       IV    IVChg    IV:HV           Rank     Pctl           HV20     HV30     HV90          Close   ChgPct     Date
OPEN    143.2    -3.81     0.52          13.35       73            273   236.32   168.42           1.95     5.41    08-08
QS    81.18    -2.48     0.58          36.15       73         140.08   134.83   117.89           8.76    -5.19    08-08
KSS    78.96    -3.48     0.54           33.3       72            145   120.95   111.06          11.12    -1.51    08-08
AXL    67.54     1.14     0.94          54.22       72          71.83    61.29    61.17           5.28    15.28    08-08
M    55.38     1.38     1.34          45.95       72          41.23    39.34    56.21          12.08    -0.25    08-08
CORZ    88.06    13.63     1.66          41.66       71          52.93    76.87    90.52          14.41     0.42    08-08
AI    74.64    -1.54     1.39          58.57       71          53.83    50.45    64.82          22.13    -2.34    08-08
B    33.92     1.52     1.47          66.21       71          23.12    26.48    38.19          23.43     1.56    08-08
NU    48.39     0.18     1.39          53.14       70          34.88    34.29    43.54           12.3    -0.89    08-08
ANF    72.97    -0.35     1.45          60.11       70          50.29    47.23    66.55         103.11    -0.24    08-08
FNKO    86.86   -21.43     0.62          38.82       69         139.81   121.52   127.06           2.46   -32.79    08-08
SE    57.87    -3.97     1.34          63.42       69          43.05    40.73    51.08         147.61    -0.84    08-08
LOW    28.19    -0.34     1.22          29.27       69          23.19    22.78    26.76         241.15     1.09    08-08
ZM    39.31    -0.77     1.77           42.6       68          22.22     22.6    28.01          71.57    -0.04    08-08
STLA    45.51     1.16     0.73          29.88       68          62.59    56.04     63.3           9.43     2.28    08-08
ELV    35.54    -0.96     0.53          62.17       68          67.34    65.88    49.06         293.99     3.71    08-08
UNH    34.75     0.18     0.72          29.09       68          48.35    47.03    69.19         250.89     2.54    08-08
TDS    53.45     2.75     1.58          44.74       67          33.84    39.44    43.15          38.75     1.25    08-08
PANW    42.94    -1.23     1.12          50.57       67          38.29    40.15    42.45         167.06    -0.62    08-08
CRDO    91.24    -0.11     1.51          45.68       66          60.47    56.14    78.93         120.41     0.53    08-08
ALB    57.79     5.63     0.78          21.56       66          73.95    71.19    71.59          75.48     7.74    08-08
HD    25.61     -1.1     1.33          26.55       66          19.22    17.84    23.14         387.85     0.44    08-08
PATH    63.57     6.51     2.31          51.11       65          27.55    29.85    39.69          10.66    -2.47    08-08
UEC    67.37    -1.13     1.55          54.06       65          43.38    55.26    69.15          10.18     3.35    08-08
REPL   118.94      6.5      0.2          10.91       65         599.31    492.3   295.29           5.29    -3.47    08-08
WOLF   191.72    -0.78     1.79          29.96       65          107.1   332.87    293.7           1.48    -1.99    08-08
HUMA   128.42     6.94     1.39          22.37       64          92.54     99.7   111.53           2.48      0.4    08-08
RH    70.48     7.96     1.18          37.03       63          59.88    56.14   117.44         215.04     0.93    08-08
AFRM     81.7    -0.25     1.37          38.58       63          59.81    56.43    81.54          72.33     -8.4    08-08
LPSN   171.63    22.77     1.43          33.88       63         119.82   110.69     92.7           1.21     5.22    08-08
SNDK    61.07    -1.17     1.15          17.51       63          52.93    46.97    79.97          44.34     8.97    08-08
WMT    26.11    -0.24     1.69          34.85       63          15.42    17.29    25.27         103.73     0.59    08-08
ADBE    38.73     4.91     1.86          57.45       63          20.83    22.24    29.89         341.05     0.82    08-08
EXE    28.51    -0.49     0.69          41.61       62          41.24    37.07    35.79          99.14    -0.87    08-08
PLUG   115.33    -2.53     1.52          45.41       62          75.95   121.97   125.83           1.51             08-08
JOBY    79.32    -0.16     0.74          46.94       62          107.7    98.85    93.21          16.64    -3.54    08-08
AVGO    47.36    -0.51     1.67          31.67       62          28.28    29.04    50.49         304.97      0.4    08-08
DG    43.69    -1.51     1.66          43.13       62          26.25    24.87    38.73         116.32      0.6    08-08
AG       59    -1.51     1.49          31.35       62          39.55    52.03    66.14           8.61    -1.37    08-08
SLB    32.99     0.98     1.08          25.23       62          30.62    33.48    47.07          32.87     0.24    08-08
NIO    74.25    -0.09     1.05          41.38       62          70.78    62.82    56.29           4.84     3.42    08-08
DKS    44.62     4.21     1.57          33.21       62          28.35    30.01    56.65         211.24    -1.81    08-08
BMNR   140.42    25.16     1.05          55.81       62         134.08   682.81   510.98          51.43    24.59    08-08
DOLE    45.93     4.18     2.01          39.47       61          22.85    20.28    25.86          14.63     0.27    08-08
SATS     72.4    -3.18     0.89          26.62       60          81.29    81.66   110.67          27.08    -0.99    08-08
CTSH    25.79     0.18     1.27          22.47       60           20.3    23.16    31.01          69.58     0.67    08-08
CHTR    37.58     0.81      0.5          27.73       60          75.02    65.52    53.24         256.57    -0.85    08-08
BTU    54.55    -0.14     0.84          35.21       60          65.31    65.07    69.25          17.27     1.41    08-08
TTD    51.77   -21.66     0.29          27.11       58         175.56    145.6   105.17          54.23   -38.61    08-08
PRTA   101.93    16.39     2.02          18.48       58          50.52    45.49    83.19           7.69    -0.39    08-08
HAL    37.19    -1.02      1.2          28.55       58          30.87    37.22    55.39           20.9      0.1    08-08
ENPH    69.69     1.87     0.99          36.65       58          70.29    64.82    94.92          32.44     2.04    08-08
FI    26.12    -1.61     0.49          27.57       58           53.5    45.41     59.5         133.24     0.41    08-08
AMBC       70     -4.2     0.79           42.4       58          88.92    75.48    76.84           6.94   -16.28    08-08
CHWY    52.67     7.69     1.72          33.96       57          30.64    27.87    40.72          36.12     0.89    08-08
ALK    43.88     3.94     1.22          21.83       57          35.93    40.04     62.1          52.28    -1.82    08-08
BABA    42.49     1.23     1.16          30.67       57          36.66    36.23    46.34         120.36     -0.5    08-08
DELL    52.16    -0.75     1.35           38.6       57           38.5     33.3    59.28         137.61     2.75    08-08
GOOGL    30.75      0.2     1.56          27.38       57          19.75    20.64    33.47         201.42     2.49    08-08
RBLX    46.36    -0.72     0.68          23.32       56          67.73    59.63    50.47         128.71    -0.71    08-08
WPM    32.39    -2.02     1.07          30.68       56          30.38    35.67    40.51         100.69      0.9    08-08
GOOG    30.51     0.41     1.57          27.25       56          19.49    19.63    33.15         202.09     2.44    08-08
GLNG    43.92     3.95     2.28           21.9       56          19.25    20.92    44.69          40.44    -2.22    08-08
PM    22.63    -0.51     0.61          28.06       56          37.17    32.96    28.21         170.18      1.2    08-08
TEVA    44.11    -1.79      1.2          34.09       56          36.91    31.84    45.75          16.37     0.49    08-08
CLOV    81.25     2.06     0.84          23.83       55           96.7    93.21     68.7           2.18    -1.36    08-08
CLF    64.93     0.44     1.02          38.71       55          63.78    67.51    87.92           9.56     1.49    08-08
PEP    20.79    -1.67     0.62          28.24       53          33.79    29.42    25.76         145.21      0.9    08-08
NOW    32.87    -0.67     1.02          20.51       53          32.18    32.62    46.03         872.51    -0.18    08-08
CZR    46.83     1.13     1.44          21.63       53          32.48     40.1    54.71          24.04    -0.41    08-08
TMC   124.46     -0.4      1.4          24.07       52          88.95    96.13   147.52           5.62     1.81    08-08
HPE    42.61    -1.93     1.66          28.49       52          25.63    39.74    52.91          20.81     2.01    08-08
EXK    69.01     0.04     1.72          17.74       52          40.02     54.4    69.09           5.42     0.37    08-08
GNW    31.52    -0.68      0.9           34.5       52          35.16    33.73    44.13           8.31     1.96    08-08
BTBT   113.94    -1.28     0.94          17.68       52         121.54   126.22   100.48           2.99     1.36    08-08
QXO    56.67     0.06     2.06          25.62       52           27.5    31.75    61.49          19.28    -0.52    08-08
KVUE    29.05    -0.87     1.11           31.9       52          26.29    22.96    28.56          21.34    -1.93    08-08
SBET   153.54     3.56     0.86          24.08       51         179.49   184.05   450.88          23.92      2.4    08-08
COHR    58.95    -2.53     1.65          24.57       51          35.83    37.16    72.95         115.44     1.42    08-08
FBIN    34.93    -0.46      1.3          29.74       51          26.87    27.21    48.88          56.05    -1.06    08-08
KHC    23.97    -0.83     0.81          30.59       51          29.49    28.32    26.55          27.76      0.4    08-08
LNG    27.47    -1.31     0.68          28.26       50          40.18    34.89    38.19         230.83    -1.89    08-08
JBLU    68.53    -0.12     1.53          28.08       50          44.67     47.3    76.74           4.33     0.23    08-08
GDDY    28.05   -10.44     0.64          22.41       50          43.67    37.91    37.54         133.35   -11.25    08-08
NRGV   150.25   -31.92      1.2          20.91       49         125.13   116.05   122.99           1.45     3.57    08-08
GT    48.01   -20.52     0.63          26.16       49          76.04    70.52    65.01           8.36   -18.52    08-08
NAMS    87.57    18.14     1.47          23.51       49          59.46    56.77    60.71          25.31    10.24    08-08
GRND    43.78   -28.96     0.76          28.92       48          57.92    52.73     43.1          15.69    -12.3    08-08
VIAV    38.64   -14.13     1.22          10.39       48          31.64    27.69     38.4          10.93     7.58    08-08
NET    46.96     0.52     1.26           19.8       48          37.14    40.97    53.24          204.6    -2.78    08-08
VFC    55.77     0.16     0.97          20.45       47          57.33    52.19    95.85          11.83    -1.83    08-08
FTNT    31.83    -2.82     0.36          19.54       47          89.14    77.69    60.06          74.39    -1.21    08-08
NAK    153.9   -12.44     0.73          34.26       47         210.17   204.59   146.75            0.9     5.94    08-08
HAE    38.84     6.03     0.36          31.35       47         108.39    91.14    60.49          53.99    -2.95    08-08
RILY   124.63   -17.33     1.05           17.1       47         118.98   112.73    83.87           5.25     2.34    08-08
IBKR    33.59    -0.83     0.95           20.5       47          35.18    32.34    48.55          65.91     2.58    08-08
SG    75.99    -19.1     0.63          31.85       46         120.48   107.98       93           9.74   -23.06    08-08
CF    29.02     0.62     0.79           21.9       46          36.72    35.59    35.65          80.91    -2.39    08-08
TEAM    42.84   -25.48     1.07          20.73       46          40.22    49.52    56.23         168.06    -1.72    08-08
DVN    34.23    -0.07     1.15          20.17       46          29.85    33.88    55.55          33.28     2.75    08-08
BIDU    41.56     0.87     0.86          36.32       46          48.41    41.85    39.59          87.36    -0.13    08-08
DAR    43.88    -3.81     1.32          28.96       46          33.18    33.74    45.85          30.63     -0.2    08-08
AGI     36.3    -0.04     1.14          29.47       46          31.74    35.64    45.98          26.18    -0.76    08-08
BBAI   128.34    11.34     1.39          43.69       45          92.45   100.36   114.01           7.14     8.02    08-08
V    19.82    -1.29     1.21          15.53       45          16.39    16.98    28.52         336.78     1.41    08-08
KDP    20.25    -1.54     0.88          28.24       44          23.13    20.09    20.34          34.42     1.53    08-08
DB     32.1     0.11     0.93           34.9       44          34.68    34.92    42.53          36.26      1.8    08-08
