Ticker       IV    IVChg    IV:HV           Rank     Pctl           HV20     HV30     HV90          Close   ChgPct     Date
EPD    15.16    -0.97     1.26          26.12       26          12.06    11.45    23.95          31.44      0.8    08-08
WMB    24.73    -1.21     1.14          18.35       26          21.69     26.6    29.49          57.89             08-08
SHAK    38.77     1.99     0.59          11.74       26          65.93    56.39    58.97          105.6    -5.85    08-08
DOCN    48.47    -1.49     0.48           16.4       26         101.25    85.09    78.99          33.05    -3.73    08-08
MVST   138.07    -1.72     1.91           6.96       26          72.28    71.99   108.04           2.89     7.04    08-08
INFY    24.68    -0.54     1.21          24.55       26          20.44    21.45    30.14          15.99    -0.19    08-08
CVX    20.16    -1.24      1.1          10.87       26          18.38    19.99    32.16         155.01     1.21    08-08
REAL    81.87   -42.74     0.98          40.38       26          83.34    71.38    94.29            6.4    16.15    08-08
HBI    45.17    -10.6     0.82           9.56       26          55.27     47.4    57.64           4.84     4.09    08-08
AXP    23.53    -1.48     1.16           8.26       26          20.35     21.8    39.63         297.43     0.92    08-08
GRRR   108.36    16.01      2.1           5.25       25           51.7    82.79   123.74          17.06     8.46    08-08
IREN    95.79    -7.11     1.43           24.8       25          66.91     63.8    72.87          18.45    -0.65    08-08
CFLT    49.25    -1.07     0.35             19       25         140.26   116.96     90.3          16.33    -3.54    08-08
PGY    74.81    -2.04     0.74          27.67       25         101.73    90.12    85.78          28.67    -6.37    08-08
FUBO    85.36   -16.07      1.1          15.04       25          77.28    72.02    75.36           3.68    -0.54    08-08
EQT    33.61     0.28     0.68          14.66       25          49.21    43.36    43.18          51.29      0.1    08-08
SHOP    38.86    -2.59     0.49          10.39       25          78.68    67.77    73.16         149.61    -0.97    08-08
ADMA    51.79     1.18     0.99          29.86       25          52.45    45.21     58.8          16.52    -1.37    08-08
LUV    33.97    -0.38     0.74           20.3       25          45.89    48.12    54.97          29.62      0.2    08-08
MMM    23.73     0.31     0.89          12.49       24           26.8    23.38    36.84          153.3     1.03    08-08
SOFI    53.23     0.58     1.22          16.02       24          43.51    43.87    63.57           22.1     0.09    08-08
TMUS    20.89    -1.05      0.8          13.27       24          26.21    25.14    33.83         244.98     0.84    08-08
XOM    21.17    -1.53     1.14          10.45       24          18.58     20.1    29.12          106.8      0.8    08-08
FND     40.9    -2.64     1.08          12.13       24          38.05    39.45    52.68           79.6    -0.09    08-08
TXRH    24.36    -8.75     0.83            8.4       24          29.38    26.27    33.07         172.84    -6.58    08-08
UAL    42.32        1     1.37           7.16       24          30.93    48.59    70.45          89.29     1.49    08-08
FFAI   165.94    -6.17     0.82           7.63       24         201.84    177.2   140.22           2.47     5.11    08-08
SEI    60.44    -3.74     0.86          24.66       23          70.38    66.63    88.86          29.99    -2.03    08-08
GCT    62.96   -17.33     0.61          22.23       23         102.91    87.61    75.63          28.91    30.52    08-08
GE    26.91     0.56      1.3           9.39       23          20.68     21.8     37.2         275.01      1.1    08-08
ABT    18.31    -0.44     0.51          15.27       22          35.91    30.22    25.37         134.28     1.68    08-08
UAN    30.97     1.35     1.23           31.8       22          25.18     21.5    28.39          96.53     0.63    08-08
FLUT    30.82    -6.08     0.86           9.69       22           35.8    31.63    38.04         280.59    -8.32    08-08
COF     28.1    -1.09     1.15           8.25       22          24.33    22.02    44.88         208.23     0.45    08-08
SERV   103.97    -8.05      1.5           32.7       22          69.36     62.4   100.16          10.47    -1.13    08-08
MCHP    39.51   -11.94     0.99          11.37       22          40.06    37.94    77.22          61.87    -6.57    08-08
ON    43.87    -1.31     0.63          11.78       21          69.17    63.57    75.06          47.66     0.15    08-08
BTDR     98.6     1.92     1.54          34.31       21          64.02    72.21    97.45          12.57    -2.86    08-08
INVZ   145.19    -3.74     1.61          30.13       21          90.34    96.83    98.83           1.67     2.45    08-08
WFC    23.94    -1.17     0.84           9.34       21          28.51    25.44    34.01          77.85     1.04    08-08
BROS    42.09     1.58     0.51           9.37       21          81.98    69.26    64.27          66.08    -5.96    08-08
T    20.24    -1.77     1.51          14.76       21          13.38    17.78    23.66          28.08     0.07    08-08
GEO    55.67     -7.5     0.91          13.31       20          61.05    54.95    52.14          21.33    -0.79    08-08
OKLO    99.56    -4.54     1.03          29.34       20          96.24    86.14   106.39          75.32    -5.04    08-08
PAAS    40.76     0.61     0.95          19.08       20          42.88    41.11    57.85          31.95     1.62    08-08
CMCSA    22.58    -1.62     0.86          11.89       20          26.39    24.42    27.76          31.67             08-08
GLXY    90.94     1.51     0.99          27.04       20          91.41    87.71    93.36          27.78     -1.1    08-08
HL     48.5     1.55     0.69            6.6       20          70.28    68.99    68.46            7.6     5.26    08-08
CRH    27.14      1.7     0.73          12.83       20          37.16    32.02     38.4          109.3     2.23    08-08
AAL    40.77     2.22     0.93           9.26       19          43.71    53.46    66.41          11.62    -0.94    08-08
KEY    27.37    -0.86     1.34           9.73       19          20.48    20.49    38.57          17.61     1.15    08-08
RDDT    61.61    -1.66     0.89          15.39       19          68.88    64.26    81.05         215.44     1.71    08-08
RDW    79.93    -2.14     0.55          32.59       19         146.24   126.65   125.66           8.99    -5.07    08-08
MU    43.03     0.24     0.96          12.83       19          45.03    39.97    64.81         118.89     6.28    08-08
MCD    17.12    -0.52     0.99           9.37       19           17.3    17.15    19.67         305.45     -0.8    08-08
SEDG    96.44      0.5     1.18          24.98       19          81.46    89.47   137.24          24.94     2.13    08-08
ZIM     56.1    -8.07     1.89          16.25       18          29.69    35.02    70.17           15.5     -2.7    08-08
LMND    67.32     1.09     0.62          27.54       18         108.23    93.46     85.5          48.98     3.64    08-08
APP    57.85     1.24     0.96          17.26       18           60.3    57.39    76.67         455.98     4.26    08-08
CRSP     53.9     0.26     0.66          23.28       18           82.1    78.17     67.4             55    -1.72    08-08
UPWK    41.83    -4.97     0.75          10.69       18          55.91    48.08    52.06          13.17    -3.02    08-08
FCX    35.32      0.7     0.82          11.72       18          42.97    40.74     56.7          41.87     2.62    08-08
CVNA    49.13     2.82     0.75           8.38       17          65.62    58.57    79.52         347.56    -2.85    08-08
GEN    22.83    -14.7      0.7          12.38       17          32.55    30.35    35.33          30.45     7.71    08-08
ZETA    61.51    -2.03     0.63           15.8       16          97.65    85.51    77.81          18.73    -4.34    08-08
EMR    20.76      0.3     0.82          14.82       16          25.47    22.97    36.77         132.74    -0.07    08-08
MSTR    54.48     2.01     0.97           5.87       16          56.32    60.76     72.1         395.13    -1.71    08-08
CPRI    49.22     2.89     0.72          16.31       16          68.57    58.38    85.38           19.7    -5.15    08-08
HIMS    79.42       -2     0.83           28.7       16          96.21    84.21   121.34          51.94     1.74    08-08
BE    67.14    -3.34     0.81          41.56       16          82.56    95.82    81.15           36.8             08-08
LCID    79.12     5.87      0.6          24.94       15         131.26   112.83    83.32           2.13    -1.84    08-08
KO    15.24    -0.91     0.99           16.1       15          15.33    14.91    18.12          70.34    -0.13    08-08
SVM    70.73     5.42     1.33          13.55       15          53.33     57.3    59.25           4.51    -6.43    08-08
RELY    36.43     -1.4     0.66           17.6       14          55.37    48.76    50.25             19     0.26    08-08
STNE    40.33   -17.91      0.8           8.17       14          50.72    47.56    49.28          14.44     6.96    08-08
ALGN     38.4     3.19     0.24          12.03       14         162.75   135.02    87.18         139.88      0.8    08-08
UBER    32.94     1.13      1.2           9.23       14          27.51    26.83    40.95          89.56    -3.36    08-08
CRCL    78.25     1.07     0.78           9.12       14           99.9   106.64                  159.03     3.99    08-08
VRTX    24.78    -1.03      0.3          18.12       14          83.68    70.74    48.71         366.54    -2.42    08-08
BP    22.01    -1.31     1.05          10.81       14             21    24.82    37.27          34.14    -0.15    08-08
PCT    70.35    -14.3     1.34          26.81       13          52.58    55.21    86.41          12.35             08-08
DKNG    39.66      0.3     1.16           7.62       12          34.11     35.8    43.52          42.88    -5.13    08-08
BLDE    97.09  -173.81     1.04          18.27       12          92.91    77.99    71.91           3.94     4.51    08-08
INTC    42.34    -1.28     1.06           8.21       12          40.04     43.8    59.22          19.95     0.91    08-08
IONQ     74.1    -2.63     1.37          18.21       12          54.17    67.55    96.41          41.85     3.36    08-08
ASPI    97.86    -0.01     1.01          12.68       11          97.24    87.37    96.19           9.32    -3.72    08-08
DOCS    33.29   -49.33     0.66          11.23       11          50.17     48.8    49.56          66.58    13.71    08-08
PAYX    18.13    -0.99     0.93           6.78       11          19.58    19.05     29.1         141.19     0.48    08-08
GRPN    60.77       -5     0.67           9.81       11          90.29    78.03    85.39          32.98    -10.6    08-08
CDE    56.74     1.08     0.93           1.73       11          61.31    59.05    70.12          11.65     3.28    08-08
RKLB    72.96      -17     1.05          22.65       11          69.57    64.26    80.51          44.69     1.09    08-08
GLW     23.4    -0.82     0.56           9.51       11          41.47     36.1    38.64          65.77     1.56    08-08
MO    16.35     0.38     0.98          10.34       11          16.71     19.5    20.24          64.19     1.01    08-08
AMPX    98.56   -12.38     0.88          23.56       11         111.74   109.42   106.75           8.06      4.4    08-08
CCL    36.36     0.25     1.46           8.36       10          24.98    29.07     55.7          28.37    -2.21    08-08
MSFT    17.97    -1.21     0.93           3.98       10          19.24    17.25    28.03         522.04     0.23    08-08
ROKU    43.79      1.7     0.63           9.91       10          69.45    57.98    67.33          83.21     0.12    08-08
WBD    41.01    -1.16     0.82          13.42       10          49.91    45.59    65.45          10.91    -8.01    08-08
PINS    32.12   -29.58     0.72           5.74       10          44.91    37.48    52.63          35.13   -10.31    08-08
NNE    84.06    -1.51        1          11.18       10          83.75    72.57    97.07          35.46     -3.9    08-08
F    26.99    -0.79     1.09           7.23       10          24.87    27.85    34.19          11.32     0.35    08-08
BRK.B    14.15    -0.63     0.88           5.63       10          15.99     15.2    23.23          465.4     0.85    08-08
ELF    53.89    -0.63     0.94          14.55       10          57.63    54.86    73.97         101.77     1.85    08-08
PHAT    80.49     0.65     1.13           9.92       10          71.38    68.45    160.6           9.74     3.62    08-08
SMR    87.96   -17.23     0.87          41.53        9         101.33    90.07   105.59          39.35   -11.93    08-08
CAT    22.47    -0.11     1.08            3.8        9          20.75    19.87    33.98         416.52    -0.14    08-08
HUM    32.57     -0.7     0.59          10.55        9          55.14    48.68    48.81         266.68     4.11    08-08
TGTX    58.67      0.8     0.79          11.85        9          74.58    66.71    58.65          26.71    -4.23    08-08
HUT    77.18     5.42     1.41          42.41        9          54.57    66.13    83.93          19.45    -2.82    08-08
AAOI    91.15   -24.84     1.47          15.54        9          62.06    66.39   117.33          21.59    -3.31    08-08
HTZ    84.64     1.52     1.29           4.29        9          65.67    70.85   131.66           5.56    -7.18    08-08
NCLH    39.35     1.14     0.86           8.58        9          45.84    44.09     62.7             24    -1.92    08-08
PENN    46.16      0.8     1.39          15.12        9          33.32    39.47       59          16.96     0.24    08-08
GM    28.28    -0.81     0.62          12.65        9          45.73    41.47    36.59          53.53      1.1    08-08
WYNN     29.4    -5.34     1.94           6.34        9          15.16    30.68    44.79         106.41    -0.76    08-08
MPW     44.5     5.69     1.19           13.2        9          37.34    35.53    38.64           4.08    -1.92    08-08
XPEV    57.59     4.42     2.09           9.98        8          27.53    30.69     60.8           20.2     2.96    08-08
ENVX    80.31   -31.34     0.87           8.21        8          92.37    94.85    94.15          10.78       -2    08-08
WDC     34.8    -0.44     0.83          25.65        8          41.76    36.33    57.02          74.97     0.71    08-08
COST    19.24    -0.48     1.19           9.03        8          16.16    14.17    22.57         980.98     0.36    08-08
JNJ    14.19    -1.43     0.55           7.76        8          25.86    22.15    24.93         173.33     1.05    08-08
NGD    47.72     4.08     1.08          16.89        8          44.27    43.99    60.02           4.88     1.46    08-08
PLTR     47.1    -0.58     1.22          11.62        8          38.61     49.4    66.78         186.96     2.61    08-08
IAG    48.39   -10.33     1.12          11.34        8          43.39    46.98     60.1            7.5    -2.85    08-08
MRNA    54.72    -0.07     1.06          13.13        8          51.67     57.6    61.34          26.12    -1.84    08-08
Z    34.13      1.5     1.08           9.22        8          31.69    31.46    37.22          80.92    -4.38    08-08
EXC    16.52    -0.78     0.97          10.23        8           17.1    15.36    20.37          45.32    -0.48    08-08
SCHW    22.29    -0.24     1.18           7.09        8          18.88    16.89    26.33          97.08     1.14    08-08
NVAX    67.89     2.52     0.86          18.13        8          79.02    70.49     89.6           8.37    -4.67    08-08
RGTI    87.47    -2.41     0.77          14.02        7          113.2   107.04   111.46          15.44     -1.4    08-08
EH    48.14   -12.14     1.16          11.26        7          41.66    37.44    54.98          17.89     2.52    08-08
SNAP    48.11    -1.17     0.62           5.61        7          77.15    71.86    74.01           7.41    -1.72    08-08
TDOC    58.56    -2.32     1.39          13.69        7          42.21    48.22    54.56           6.96     0.14    08-08
XIFR    47.13   -10.29     0.92           8.91        7          51.38     65.2    56.51            9.9    11.24    08-08
SQNS   125.27     -6.4     0.78           6.98        7         160.96   270.18   171.47           1.28             08-08
EOSE    86.98     1.13     1.04          10.38        7          83.41    86.92   112.19           6.37     -2.9    08-08
BB    50.84    -4.07     1.69           9.12        7          30.02    32.53    51.91           3.61    -1.37    08-08
BYND    85.27      0.2     0.92           9.97        6          92.65    78.95     71.3           2.66       -5    08-08
CMPO    35.94    -6.69     0.49          21.06        6           73.7     63.3    46.87          17.53    21.74    08-08
GME    51.32     5.14     2.05           4.82        6          25.04    28.53    66.18          22.27    -1.68    08-08
TSM    32.06    -1.28     0.99           4.48        6          32.31    30.82    41.81         241.83    -0.33    08-08
VZ    15.79    -0.58     0.89           6.67        6          17.68    18.07    21.01          43.15     0.47    08-08
AMZN    24.36    -0.82     0.67           3.58        6          36.55    32.62    41.38         222.69     -0.2    08-08
ABNB    27.98     -2.7     0.73           3.29        6          38.25    33.05    42.81         121.02     0.82    08-08
VST    49.62    -2.84     1.09          11.63        6          45.66    42.74    61.36         202.12    -1.69    08-08
TXN    24.85    -0.87     0.47            4.4        5          53.15    45.89    52.91         187.22      0.7    08-08
NXT    46.92     0.45     1.03           5.46        5          45.55    56.14    53.98          56.21     0.88    08-08
WBA    13.02   -30.12     2.75           5.76        5           4.73     5.11     10.7          11.94     0.34    08-08
DJT     57.5    -0.37     1.31           1.41        5          43.77    42.56    66.68          16.99    -0.82    08-08
COIN    54.56    -0.78     0.75           12.3        5          72.34    68.57    80.96         310.54    -0.08    08-08
SIRI    35.76     0.23     0.93           4.26        4          38.32    36.79    43.02          21.42     0.52    08-08
PYPL    27.33    -0.71     0.68           3.22        4          39.99     37.8     40.9          67.65    -0.84    08-08
FLG    33.91    -0.32     0.86              5        4          39.42    36.49    38.13          11.56     1.67    08-08
PTON    66.45     1.13     0.79           6.51        4          84.48    77.66     82.6           7.84    10.27    08-08
TRIP    37.17    -5.07     0.69           10.9        4          53.94    68.64    68.66          17.97    11.68    08-08
VRT    47.15    -3.67     1.38           2.78        3          34.08    39.23    63.07         139.93     0.39    08-08
HON    16.34     -0.5     0.63           1.76        3          25.88    23.99    31.22         216.31    -0.12    08-08
GENI    47.99    -2.18     0.86           3.04        3          55.69    53.31    50.43          12.39      3.6    08-08
GEV    41.71    -1.68     0.76           6.82        3          54.79    48.38    52.38         649.09      0.5    08-08
ASML    28.02    -0.35     0.68           2.64        3          40.94    34.65    44.21         722.32     1.29    08-08
W    54.09     0.44      0.9           6.48        3          60.33    57.11    93.95          72.37    -1.24    08-08
CVS    25.92    -1.18     0.79           5.03        3          32.88    30.84    32.44          65.54     3.08    08-08
LVS    27.81    -0.23     1.31           1.99        2          21.24    30.56    43.85          52.63    -0.72    08-08
DFDV   144.26     2.73     1.08           3.58        2         134.05   157.63   453.71          15.68    16.49    08-08
LUMN    60.55     0.29     0.85          13.15        2          70.93    63.24    70.11           3.76     1.62    08-08
QUBT    94.07    -1.63     1.18           8.45        2          79.48    85.71   124.38          16.13     2.35    08-08
RIOT    70.66    -1.84     0.84           5.65        2          84.39     79.4    80.28          11.08    -4.32    08-08
AUR    67.47    -0.95     1.24          11.01        2           54.6    52.25     74.5           6.16    -0.65    08-08
USB    20.13     -3.2     1.12           2.46        2          18.01    18.99    33.05          44.86     1.75    08-08
MKTX    25.26     -2.7     0.62           2.99        2          40.63    36.04    30.33         187.01      1.4    08-08
META     25.9    -1.14     0.59           1.55        2          44.12    37.86    46.77          769.3     0.98    08-08
ARM    44.06      0.9     0.73           1.62        2          60.03    54.45    66.21          138.5     2.16    08-08
PONY    78.79     0.51     1.13            0.4        1          69.44    65.48   170.43           14.7    -1.61    08-08
APLD    89.56    -1.27     0.76           22.2        1         117.92   106.97   148.47           14.2    -0.28    08-08
CPNG    26.11    -2.68     0.89           11.7        1          29.42    28.03    37.05          27.83     0.07    08-08
GSAT    49.95     0.62     0.78           0.41        1          64.17    57.22    53.87          28.47    13.07    08-08
PFE    20.14     -1.4     0.62           2.06        1          32.28    28.86    30.26          24.58     1.44    08-08
SMCI    63.91      0.5      0.7           0.56        1          91.25    79.04    86.48           44.6    -4.44    08-08
MTCH    24.98     1.91     0.63           4.86        1          39.71    38.42    39.12          36.09    -0.72    08-08
MBLY    51.36     1.56     1.37           2.67        1          37.47    42.45    65.29           13.6    -2.72    08-08
TSLA    44.98     0.81        1           1.32        1          45.15    49.77    71.96         329.65     2.29    08-08
EBAY    20.58    -0.79     0.34           1.16        1          61.37    50.99    36.44          93.14     0.13    08-08
CENX    56.32   -15.77     1.19           4.08        1          47.25    46.48    70.01          23.01     1.63    08-08
CIFR    88.85     3.35     1.16           4.11        1          76.64    90.37   100.55           4.75    -2.46    08-08
ONDS   125.74   -62.46     1.07           2.06                  117.87   104.04   120.26           3.55     9.23    08-08
CLSK    69.38   -11.24     1.38           1.85                   50.22    66.05    81.06          10.07    -6.06    08-08
COMM    29.63     1.86     0.14           1.63                  219.34   184.71   140.39          15.58     3.94    08-08
BA    26.61    -0.35      1.2           1.11                   22.15    27.72    44.35         229.12     0.79    08-08
TEM    68.59   -13.59      1.1           1.14                    62.4    60.79    92.85          60.87     3.63    08-08
LYFT    42.63    -0.97     1.31           1.27                    32.5    35.12    64.11          13.41    -5.63    08-08
CHYM    68.39   -24.17     0.92                                   74.4     69.7                   28.89   -14.68    08-08
UPST    64.51    -2.14     0.77                                  84.15    76.23    88.99          68.76    -1.11    08-08
SEAT                                                            182.17   159.54   138.24          16.76    -6.53    08-08
RIVN    48.36    -0.55     1.08                                  44.84    41.93    49.52          11.79    -2.32    08-08
XYZ     35.8   -20.54     0.74                                  48.06    44.42    63.41          73.39     -4.5    08-08
CELH    41.72    -2.87     0.65                                  63.88    53.54    47.49          51.95     3.65    08-08
NBIS    73.78    -3.37     0.85                                  86.63    85.36    89.74          68.78     5.31    08-08
QCOM    26.44    -0.17     0.79                                  33.43    29.17     47.2         147.56     1.14    08-08
LUNR    73.99    -6.64     0.77                                   96.5    81.71    85.86           9.81    -2.39    08-08
QBTS    86.89   -10.53     0.97                                   89.5    83.47   121.28           16.9    -1.57    08-08
LRCX    32.51    -0.77     1.05                                  31.11    26.88    53.21         101.75     2.62    08-08
MARA    61.25    -0.84     1.05                                  58.36    68.57    77.01          15.38    -3.57    08-08
CART    31.35   -19.02     1.01                                  30.95    28.43    40.64          51.21     3.68    08-08
ROOT    66.85    -2.25     0.54                                  123.2   102.81    88.71          88.26    -2.18    08-08
CAR    45.96    -0.38     0.71                                  65.09    60.26     70.6         153.71    -1.94    08-08
ETHA    81.15     3.81     1.34            100       99           60.5     61.3    75.87          30.79     5.05    08-08
ETH     75.8      4.7     1.26          43.33       98          60.26    60.81    75.21           38.3     5.02    08-08
ETHE    82.43    10.56     1.38          72.03       98          59.79    60.64    75.08          33.59        5    08-08
SPXS     58.9    10.95     2.05          20.77       79          28.77    27.21    80.07           4.34    -2.25    08-08
ETHU   151.85     5.18     1.27          57.21       78         119.12   120.38   150.23         137.48     9.96    08-08
MSOS    83.59    17.49      0.9          41.08       76          93.11    82.74    78.15           3.74     7.47    08-08
IBB    22.63      0.5     1.14          26.01       68          19.84    19.57    29.94         132.04     0.62    08-08
LQD    14.25     0.06     3.26          30.05       68           4.37     5.17      8.5         109.41    -0.32    08-08
JETS    31.11     0.93     1.23          36.75       64          25.37    31.56    46.68          23.68     0.38    08-08
XLU    18.67     4.18     1.36          15.61       60          13.69    12.65    18.56          86.18    -0.43    08-08
GGLL    59.84     2.66     1.49          24.04       59          40.03    41.16    66.44          44.64     5.01    08-08
UVXY   106.99    14.38     1.54          20.41       58          69.58    59.25      139          14.49    -4.92    08-08
AMDL    92.99    -4.32     0.98          26.77       58          94.74    88.22   123.57          12.17     0.08    08-08
EMB    13.27      0.1     4.39             58       55           3.02     4.49     9.01          93.38             08-08
XLI    16.83      1.9     1.42          15.97       54          11.88    10.78     24.9         150.83     0.08    08-08
LLYX    73.06    -2.81     0.56          35.78       54         131.23    110.6   108.08           9.69    -4.91    08-08
XOP    27.79     -1.2      1.2          14.31       53          23.07    23.25     44.2         122.99     0.37    08-08
XLV    15.27     1.21     0.78           20.4       52          19.52    17.46    22.46         130.16     0.89    08-08
XHB    28.52     0.56     0.96          45.41       51          29.72    29.11    33.47         108.15     0.32    08-08
IWM    22.25    -0.54     1.28          13.66       50          17.38    16.84    27.79         220.32     0.22    08-08
USO    31.68     1.21     1.25           23.1       50          25.37    24.74    39.29           73.3    -0.16    08-08
NUGT    65.29     -0.1     1.09          27.12       50          60.04    63.34    81.58           91.1     0.51    08-08
GDX     32.4    -0.43     1.06          24.25       49          30.44    32.05    40.98          58.06     0.21    08-08
JEPQ    11.22     0.25        1          13.06       46          11.23     9.93    25.01          55.32     0.62    08-08
UGL    32.44     0.12      1.1          21.52       44          29.41    29.64    44.16           36.4    -0.57    08-08
ARKK    37.78    -0.57     1.12          17.05       43          33.87    31.08    49.74          74.76     0.55    08-08
URA    37.49     0.26     1.19          51.03       42          31.57    30.55     40.8          39.95    -1.58    08-08
AAPU    50.54      0.5     0.92           17.3       42          54.83    49.03    84.78          26.91     8.33    08-08
EWY    25.66     0.33     1.36          16.24       41          18.87    22.22    28.85           73.5     0.08    08-08
XLE    20.79     -0.5     1.39          12.57       38          14.97    16.44     33.4          84.93     0.64    08-08
IYR    19.05     1.74     1.22          29.37       37          15.63    13.42    20.72           94.8    -0.88    08-08
TNA    62.54    -4.51     1.22          15.12       34          51.43    49.79    83.57          34.92     0.49    08-08
GLD    15.51    -0.02      1.1           18.3       34          14.07    14.27    21.85         313.05    -0.02    08-08
XRT    24.97     0.54     1.23          13.58       32          20.35    19.57    30.65          80.77    -0.55    08-08
XME    27.03     0.69     1.07          14.41       31          25.26    28.61    34.47          79.29     1.72    08-08
NVDL    85.24     0.31     1.59          27.92       29          53.68    51.27    95.39           92.4     2.02    08-08
GDXJ    34.86    -0.91     1.14          18.44       29          30.59    31.44    44.22          72.23    -0.19    08-08
RSP    13.19     0.11     1.17          25.72       29          11.24     10.7    23.56         183.08     0.18    08-08
SVIX    58.52     5.38     1.31          14.49       29          44.76    38.05    99.28          17.82      3.3    08-08
SOXX    30.46     1.15     1.68          11.48       28           18.1    17.93    47.81         242.87     0.84    08-08
EEM    15.12     0.87     1.66          10.83       24           9.11     9.17    21.28          49.44    -0.08    08-08
DIA    12.07    -1.08     1.12           6.31       23          10.73    10.68    22.63         441.92      0.5    08-08
MSTU    118.6    10.56     1.04          11.64       22         113.77   121.06   140.63           7.66    -3.65    08-08
UVIX   121.74    -1.49     1.34           9.03       22          91.15    78.06    187.9          15.68    -6.56    08-08
UNG    54.99     0.11     1.22           14.5       22          45.01    49.94    55.04           13.2    -2.44    08-08
XLK     19.3     0.13     1.39           9.49       20          13.88    13.31    34.02         265.92        1    08-08
IGV    20.78    -2.26     1.19          27.44       20           17.4    18.59    31.76         109.63     0.03    08-08
XLF    15.24    -1.03     1.12           7.51       20          13.56    13.01    24.94          51.85     0.93    08-08
UPRO    36.84    -4.54     1.23            7.9       20          30.04    27.57    74.48          98.75     2.23    08-08
SPY    12.75    -0.92     1.27           9.35       20          10.08     9.24    26.75         637.18     0.78    08-08
MSTX   106.62     9.88     0.92          12.11       19         115.28   123.44   142.21          35.26    -3.63    08-08
SOXS    86.94     2.33     1.65           8.24       18           52.8     52.7    175.2           7.46    -2.61    08-08
XLY    18.57    -0.27     1.12           8.88       18          16.51     15.5    30.36         223.78     0.17    08-08
KWEB    28.97   -13.54     1.23           9.69       18          23.64    21.33    34.11          35.83    -0.08    08-08
SIL    35.36    -1.71      1.1          17.56       17          32.15    34.22    41.22          54.43     1.11    08-08
ASHR    18.25     0.25     1.59           5.62       17          11.49    11.05    20.64          28.81    -0.03    08-08
SILJ    38.81     0.07     1.13          16.87       16          34.39    38.06    45.13          16.74     0.97    08-08
VXX    57.38    -6.36     1.27           6.09       16          45.11     38.8    92.44          40.81    -3.32    08-08
XLP    11.87    -0.39     1.11          10.71       16          10.67    10.31    15.66          82.48     0.29    08-08
EWJ    16.45      0.8     0.77          10.86       14          21.41    20.35    25.25          77.93     1.71    08-08
KRE    26.13    -4.14     1.26          10.95       14          20.66    21.45    34.04          59.56     1.21    08-08
SPXL    35.48    -3.88     1.18           6.44       13          30.03    27.52    74.55          187.4     2.16    08-08
SOXL    81.18    -1.18      1.5           11.8       13             54    53.15   140.39          25.71     2.84    08-08
SMH       29    -0.65     1.48            5.8       11          19.61    18.35    44.13         293.53     0.83    08-08
FEZ    16.43    -0.25     0.97          19.44       10          16.99    16.19    24.36          59.55      0.4    08-08
YINN    64.53    -0.91     1.44            6.7        9          44.92    42.81    90.81           43.1    -0.78    08-08
GRNY    18.78    -1.01     1.32           6.25        9          14.23    14.08    31.43           23.8     0.59    08-08
XBI    24.81    -1.39      1.3           9.16        9          19.13    21.69       33          85.43     0.13    08-08
HYG     4.58    -4.05     1.54           8.05        9           2.97     3.53      7.8          80.22     0.01    08-08
EFA    12.66    -0.67     0.89           9.39        8           14.3    13.08    22.17          90.37     0.61    08-08
QQQ     15.9    -0.98     1.31           6.38        8          12.12    11.34    29.99         574.55     0.93    08-08
KOLD    85.15    -3.64     0.97          11.12        8          87.77    95.31   106.66          32.45     4.95    08-08
MSTY    41.06    -4.27     0.84            6.3        7          48.98    52.12    67.66          19.15    -0.93    08-08
FXI    21.83    -4.05     1.42           3.34        7           15.4    14.69    29.66          37.67    -0.19    08-08
BITO    42.21     0.99     1.11          19.65        6          37.94    40.88    41.95          21.09    -1.08    08-08
TQQQ     45.1     -3.6     1.24           4.87        6          36.45    33.93    87.11          92.16      2.7    08-08
BOIL    88.52     0.17     0.95           9.64        5          92.78    99.53   106.07          33.55    -4.88    08-08
CONL   107.29     -6.2     0.69           8.53        5          156.2   145.35   158.66          33.45    -0.36    08-08
SQQQ    47.05    -5.63     1.29           2.63        4          36.43    33.89    98.24          17.48    -2.65    08-08
SPXU    35.57    -4.68     1.19           4.32        4           29.8    27.39    79.91          15.51    -2.15    08-08
SLV    23.89    -0.58     1.21           5.75        4          19.77    22.15    28.15          34.88     0.35    08-08
MAGS    18.49     1.77     1.06           3.97        4          17.48    17.04    38.04          59.93     1.65    08-08
SMCX   124.56     1.97     0.64          21.69        4         194.84   167.71    174.3          36.13    -8.97    08-08
IEI     3.57    -0.05      1.1           5.13        3           3.23      3.4     4.41         118.72    -0.17    08-08
TSLQ    90.65     5.74     1.03           5.62        2          87.81    96.92   158.24          15.73    -4.61    08-08
TLT     12.2    -0.09     1.25           2.64        2           9.77    10.83    14.15          87.29    -0.43    08-08
ULTY    31.63      1.2     1.95           6.92        2          16.23     16.7    31.37           6.03    -0.17    08-08
TZA    53.43    -11.5     1.04           3.84        2          51.57    49.56    85.82          11.12    -0.63    08-08
IEF     6.16    -0.07     1.22           5.81        2           5.03     5.29      6.7          95.38    -0.23    08-08
PTIR    94.69     3.86     1.25           3.76        2          75.68      100   133.89          35.49     5.25    08-08
FBTC    33.46     0.55     1.33           1.58        2          25.23    28.94    37.55          101.6    -1.02    08-08
IBIT    33.67     0.03     1.32           2.95        1          25.59    29.43    37.94          66.13    -1.05    08-08
